label,sub_type,r,g,b,rg_ratio
Tomato,Tomato 2,209.99,149.09,148.73,1.4085
Tomato,Tomato 2,191.9,118.44,118.72,1.6202
Tomato,Tomato 2,208.95,157.74,157.28,1.3246
Tomato,Tomato 2,153.37,75.72,77.37,2.0254
Tomato,Tomato 2,162.59,86.43,87.56,1.8812
Tomato,Tomato 2,210.95,156.49,156.79,1.348
Tomato,Tomato 2,198.09,125.68,124.53,1.5761
Tomato,Tomato 2,206.01,146.59,146.12,1.4053
Tomato,Tomato 2,202.78,144.04,143.69,1.4078
Tomato,Tomato 2,174.2,103.67,106.16,1.6804
Tomato,Tomato 2,196.63,122.92,121.98,1.5996
Tomato,Tomato 2,202.05,141.34,140.96,1.4296
Tomato,Tomato 2,175.46,123.48,123.31,1.4209
Tomato,Tomato 2,185.52,121.41,121.19,1.5281
Tomato,Tomato 2,199.11,145.31,145.38,1.3703
Tomato,Tomato 2,179.11,106.35,105.89,1.6842
Tomato,Tomato 2,178.34,97.26,98.93,1.8336
Tomato,Tomato 2,178.91,99.53,100.67,1.7975
Tomato,Tomato 2,211.47,155.24,155.07,1.3622
Tomato,Tomato 2,204.24,144.09,143.46,1.4174
Tomato,Tomato 2,211.11,156.87,156.41,1.3457
Tomato,Tomato 2,210.46,157.69,157.29,1.3346
Tomato,Tomato 2,193.94,124.88,125.97,1.553
Tomato,Tomato 2,213.12,157.9,157.87,1.3497
Tomato,Tomato 2,208.87,158.72,158.29,1.316
Tomato,Tomato 2,189.45,133.21,133.0,1.4222
Tomato,Tomato 2,173.96,93.21,92.95,1.8663
Tomato,Tomato 2,193.75,143.14,142.31,1.3536
Tomato,Tomato 2,178.93,132.02,132.16,1.3553
Tomato,Tomato 2,181.72,112.87,112.25,1.61
Tomato,Tomato 2,168.95,111.51,111.58,1.5151
Tomato,Tomato 2,183.59,104.66,105.32,1.7541
Tomato,Tomato 2,171.17,118.21,118.76,1.4481
Tomato,Tomato 2,170.75,89.77,91.27,1.902
Tomato,Tomato 2,203.88,143.44,143.12,1.4214
Tomato,Tomato 2,183.84,101.56,100.55,1.8103
Tomato,Tomato 2,175.58,126.01,126.39,1.3934
Tomato,Tomato 2,198.75,148.19,148.06,1.3412
Tomato,Tomato 2,210.76,157.98,157.62,1.334
Tomato,Tomato 2,203.31,143.88,143.51,1.4131
Tomato,Tomato 2,209.42,158.94,158.57,1.3177
Tomato,Tomato 2,205.3,139.65,139.55,1.4701
Tomato,Tomato 2,199.82,145.04,145.63,1.3777
Tomato,Tomato 2,197.65,133.13,134.38,1.4846
Tomato,Tomato 2,171.05,86.06,85.77,1.9876
Tomato,Tomato 2,175.33,97.26,96.8,1.8028
Tomato,Tomato 2,166.05,89.71,90.72,1.8511
Tomato,Tomato 2,196.36,142.39,142.68,1.379
Tomato,Tomato 2,169.72,103.17,105.09,1.645
Tomato,Tomato 2,179.91,133.19,133.38,1.3508
Tomato,Tomato 2,204.59,145.7,145.16,1.4041
Tomato,Tomato 2,202.25,141.54,140.95,1.4289
Tomato,Tomato 2,194.49,143.96,143.86,1.351
Tomato,Tomato 2,205.88,145.49,145.22,1.4151
Tomato,Tomato 2,202.41,141.69,141.15,1.4286
Tomato,Tomato 2,197.56,127.62,127.82,1.548
Tomato,Tomato 2,211.03,150.83,150.58,1.3991
Tomato,Tomato 2,208.45,145.02,144.96,1.4374
Tomato,Tomato 2,194.33,118.79,117.61,1.6359
Tomato,Tomato 2,210.54,156.0,156.13,1.3496
Tomato,Tomato 2,173.48,119.2,119.25,1.4554
Tomato,Tomato 2,211.74,158.51,158.75,1.3358
Tomato,Tomato 2,183.96,134.75,134.71,1.3652
Tomato,Tomato 2,190.15,115.05,115.46,1.6528
Tomato,Tomato 2,207.29,150.2,150.12,1.3801
Tomato,Tomato 2,210.76,150.88,150.49,1.3969
Tomato,Tomato 2,177.32,102.93,102.64,1.7226
Tomato,Tomato 2,169.1,89.26,90.82,1.8944
Tomato,Tomato 2,204.47,143.83,143.63,1.4216
Tomato,Tomato 2,201.92,141.41,141.06,1.4279
Tomato,Tomato 2,212.29,157.9,158.12,1.3445
Tomato,Tomato 2,204.1,144.54,144.19,1.4121
Tomato,Tomato 2,209.66,151.59,151.06,1.3831
Tomato,Tomato 2,160.39,84.08,85.36,1.9075
Tomato,Tomato 2,197.86,135.47,135.51,1.4606
Tomato,Tomato 2,199.07,143.65,143.88,1.3858
Tomato,Tomato 2,157.24,87.08,88.49,1.8058
Tomato,Tomato 2,199.2,149.46,149.22,1.3328
Tomato,Tomato 2,196.7,145.46,145.51,1.3522
Tomato,Tomato 2,207.81,151.16,151.12,1.3748
Tomato,Tomato 2,199.62,140.52,141.26,1.4206
Tomato,Tomato 2,199.46,130.87,130.83,1.5241
Tomato,Tomato 2,165.52,103.53,103.41,1.5988
Tomato,Tomato 2,198.1,143.75,144.04,1.378
Tomato,Tomato 2,164.57,101.17,101.17,1.6267
Tomato,Tomato 2,181.68,114.99,114.79,1.5799
Tomato,Tomato 2,197.2,150.04,149.65,1.3143
Tomato,Tomato 2,183.86,103.95,104.78,1.7687
Tomato,Tomato 2,180.57,103.44,104.26,1.7456
Tomato,Tomato 2,190.94,133.35,133.11,1.4319
Tomato,Tomato 2,211.49,152.52,152.2,1.3866
Tomato,Tomato 2,161.64,97.87,99.2,1.6516
Tomato,Tomato 2,191.61,134.26,134.09,1.4272
Tomato,Tomato 2,195.02,141.05,141.23,1.3827
Tomato,Tomato 2,213.69,162.45,162.23,1.3154
Tomato,Tomato 2,179.44,103.54,104.29,1.7331
Tomato,Tomato 2,201.92,139.06,138.68,1.452
Tomato,Tomato 2,212.07,158.82,159.1,1.3353
Tomato,Tomato 2,207.43,141.12,140.68,1.4698
Tomato,Tomato 2,202.73,133.72,132.94,1.516
Tomato,Tomato 2,189.92,134.16,133.67,1.4156
Tomato,Tomato 2,167.21,90.06,91.36,1.8567
Tomato,Tomato 2,209.52,153.66,153.79,1.3636
Tomato,Tomato 2,199.25,141.78,142.21,1.4053
Tomato,Tomato 2,171.68,86.04,85.71,1.9954
Tomato,Tomato 2,199.82,142.36,142.77,1.4037
Tomato,Tomato 2,190.48,132.03,131.99,1.4427
Tomato,Tomato 2,198.95,136.09,137.58,1.4619
Tomato,Tomato 2,198.36,135.61,135.65,1.4628
Tomato,Tomato 2,181.96,133.71,133.45,1.3608
Tomato,Tomato 2,163.42,87.07,88.42,1.8768
Tomato,Tomato 2,206.93,159.0,158.67,1.3014
Tomato,Tomato 2,167.33,90.2,91.37,1.8551
Tomato,Tomato 2,167.36,108.42,109.5,1.5436
Tomato,Tomato 2,196.46,148.9,148.34,1.3194
Tomato,Tomato 2,202.35,145.53,147.01,1.3904
Tomato,Tomato 2,189.4,117.44,118.82,1.6127
Tomato,Tomato 2,154.78,77.73,79.09,1.9913
Tomato,Tomato 2,210.71,153.44,153.1,1.3732
Tomato,Tomato 2,209.53,158.78,158.55,1.3196
Tomato,Tomato 2,167.15,105.34,105.45,1.5867
Tomato,Tomato 2,188.4,127.07,127.04,1.4827
Tomato,Tomato 2,173.05,89.25,91.37,1.939
Tomato,Tomato 2,197.31,145.73,145.41,1.3539
Tomato,Tomato 2,199.17,139.26,139.5,1.4301
Tomato,Tomato 2,207.93,144.47,144.37,1.4393
Tomato,Tomato 2,203.14,143.83,143.54,1.4124
Tomato,Tomato 2,212.23,158.31,158.57,1.3406
Tomato,Tomato 2,201.05,139.4,139.15,1.4422
Tomato,Tomato 2,202.05,141.52,140.98,1.4277
Tomato,Tomato 2,204.35,145.1,144.53,1.4083
Tomato,Tomato 2,181.39,97.56,96.36,1.8593
Tomato,Tomato 2,195.77,142.3,142.45,1.3757
Tomato,Tomato 2,199.19,144.36,144.82,1.3798
Tomato,Tomato 2,207.99,144.67,144.34,1.4377
Tomato,Tomato 2,180.35,103.38,104.38,1.7445
Tomato,Tomato 2,194.86,141.86,141.94,1.3736
Tomato,Tomato 2,174.38,124.22,124.56,1.4037
Tomato,Tomato 2,177.91,103.23,102.93,1.7234
Tomato,Tomato 2,204.52,144.3,143.84,1.4173
Tomato,Tomato 2,199.27,142.62,143.1,1.3972
Tomato,Tomato 2,178.29,102.98,103.64,1.7313
Tomato,Tomato 2,197.67,129.05,129.05,1.5317
Tomato,Tomato 2,174.23,123.73,124.16,1.4082
Tomato,Tomato 2,181.96,103.7,105.25,1.7547
Tomato,Tomato 2,178.43,131.12,131.25,1.3608
Tomato,Tomato 2,212.59,158.68,158.47,1.3397
Tomato,Tomato 2,199.45,127.19,126.26,1.5681
Tomato,Tomato 2,203.75,143.5,143.1,1.4199
Tomato,Tomato 2,201.32,133.76,133.64,1.5051
Tomato,Tomato 2,179.44,105.31,105.82,1.7039
Tomato,Tomato 2,199.36,142.85,143.07,1.3956
Tomato,Tomato 2,179.21,103.73,104.23,1.7277
Tomato,Tomato 2,196.88,131.46,132.45,1.4977
Tomato,Tomato 2,210.9,157.38,156.91,1.34
Tomato,Tomato 2,201.77,141.31,140.94,1.4279
Tomato,Tomato 2,174.08,94.7,96.94,1.8383
Tomato,Tomato 2,205.23,144.42,144.08,1.421
Tomato,Tomato 2,172.06,103.45,106.06,1.6632
Tomato,Tomato 2,207.51,150.86,150.75,1.3755
Tomato,Tomato 2,184.87,121.93,121.95,1.5163
Tomato,Tomato 2,193.28,123.62,124.76,1.5635
Tomato,Tomato 2,207.43,147.2,146.5,1.4091
Tomato,Tomato 2,176.51,100.64,100.14,1.7539
Tomato,Tomato 2,182.93,133.98,133.98,1.3654
Tomato,Tomato 2,207.3,144.51,144.32,1.4345
Tomato,Tomato 2,201.28,139.38,139.16,1.444
Tomato,Tomato 2,213.22,160.15,160.02,1.3314
Tomato,Tomato 2,201.56,131.1,130.3,1.5375
Tomato,Tomato 2,206.63,146.56,146.08,1.4098
Tomato,Tomato 2,205.93,138.46,138.01,1.4873
Tomato,Tomato 2,175.48,122.79,122.63,1.4292
Tomato,Tomato 2,199.35,138.44,138.69,1.44
Tomato,Tomato 2,178.37,95.2,94.49,1.8737
Tomato,Tomato 2,203.6,144.3,143.67,1.411
Tomato,Tomato 2,193.21,119.53,119.6,1.6164
Tomato,Tomato 2,200.49,151.77,151.34,1.321
Tomato,Tomato 2,191.53,137.46,136.68,1.3934
Tomato,Tomato 2,196.66,130.46,130.89,1.5074
Tomato,Tomato 2,156.36,81.36,82.92,1.9218
Tomato,Tomato 2,198.2,145.11,145.48,1.3658
Tomato,Tomato 2,175.74,105.38,107.62,1.6677
Tomato,Tomato 2,173.53,122.39,122.85,1.4178
Tomato,Tomato 2,198.87,145.86,146.41,1.3635
Tomato,Tomato 2,198.51,141.91,142.37,1.3989
Tomato,Tomato 2,204.34,145.8,145.32,1.4015
Tomato,Tomato 2,177.12,102.39,102.8,1.7298
Tomato,Tomato 2,193.22,124.4,125.38,1.5532
Tomato,Tomato 2,168.32,90.56,92.07,1.8586
Tomato,Tomato 2,189.71,110.88,109.82,1.711
Tomato,Tomato 2,181.71,102.01,103.08,1.7813
Tomato,Tomato 2,176.34,94.04,95.6,1.8751
Tomato,Tomato 2,175.37,125.69,126.21,1.3952
Tomato,Tomato 2,184.91,109.3,110.98,1.6917
Tomato,Tomato 2,161.41,96.67,98.28,1.6697
Tomato,Tomato 2,195.21,146.31,145.9,1.3342
Tomato,Tomato 2,171.21,86.4,87.95,1.9816
Tomato,Tomato 2,208.68,145.54,145.58,1.4338
Tomato,Tomato 2,186.87,126.57,126.57,1.4764
Tomato,Tomato 2,175.04,101.24,103.48,1.729
Tomato,Tomato 2,207.69,143.19,143.21,1.4505
Tomato,Tomato 2,174.48,121.3,121.2,1.4384
Tomato,Tomato 2,180.68,98.93,99.64,1.8263
Tomato,Tomato 2,195.6,146.65,146.08,1.3338
Tomato,Tomato 2,205.8,139.91,139.84,1.4709
Tomato,Tomato 2,187.95,127.25,127.03,1.477
Tomato,Tomato 2,197.39,133.22,134.44,1.4817
Tomato,Tomato 2,185.86,108.12,108.31,1.719
Tomato,Tomato 2,194.1,142.38,142.39,1.3633
Tomato,Tomato 2,190.98,135.45,134.95,1.4099
Tomato,Tomato 2,193.64,122.71,122.99,1.5781
Tomato,Tomato 2,211.38,153.7,153.46,1.3752
Tomato,Tomato 2,179.47,109.13,109.08,1.6446
Tomato,Tomato 2,202.64,138.61,138.4,1.4619
Tomato,Tomato 2,162.5,95.86,96.44,1.6953
Tomato,Tomato 2,209.87,152.37,151.88,1.3774
Tomato,Tomato 2,197.81,135.66,135.78,1.4581
Tomato,Tomato 2,167.61,110.5,111.55,1.5169
Tomato,Tomato 2,187.21,124.95,124.79,1.4983
Tomato,Tomato 2,179.46,109.34,109.39,1.6413
Tomato,Tomato 2,195.68,128.22,128.8,1.5262
Tomato,Tomato 2,201.87,141.51,140.94,1.4266
Tomato,Tomato 2,213.98,162.62,162.5,1.3158
Tomato,Tomato 2,201.96,144.65,146.24,1.3962
Tomato,Tomato 2,205.11,138.32,138.03,1.4829
Tomato,Tomato 2,174.38,89.77,88.59,1.9425
Tomato,Tomato 2,178.12,94.37,93.64,1.8875
Tomato,Tomato 2,205.19,145.24,144.79,1.4128
Tomato,Tomato 2,195.34,127.47,128.09,1.5324
Tomato,Tomato 2,193.3,117.0,116.05,1.6521
Tomato,Tomato 2,181.61,113.91,113.92,1.5943
Tomato,Tomato 2,199.62,143.02,143.36,1.3958
Tomato,Tomato 2,188.29,115.56,116.74,1.6294
Tomato,Tomato 2,174.91,122.38,122.45,1.4293
Tomato,Tomato 2,197.04,150.12,149.58,1.3126
Tomato,Tomato 2,196.18,143.4,143.14,1.3681
Tomato,Tomato 2,201.96,144.76,146.15,1.3951
Tomato,Tomato 2,178.07,104.96,104.38,1.6965
Tomato,Tomato 2,202.62,144.18,143.73,1.4053
Tomato,Tomato 2,203.88,139.54,139.14,1.4611
Tomato,Tomato 2,207.86,151.56,151.41,1.3714
Tomato,Tomato 2,165.22,95.7,97.63,1.7264
Tomato,Tomato 2,208.12,158.19,157.77,1.3156
Tomato,Tomato 2,201.7,143.77,144.96,1.4029
Tomato,Tomato 2,206.14,148.17,148.02,1.3913
Tomato,Tomato 2,191.08,136.98,136.23,1.395
Tomato,Tomato 2,207.68,143.77,143.25,1.4445
Tomato,Tomato 2,206.17,145.24,144.84,1.4195
Tomato,Tomato 2,183.69,119.15,119.25,1.5417
Tomato,Tomato 2,202.34,141.58,140.86,1.4291
Tomato,Tomato 2,204.08,139.37,139.2,1.4643
Tomato,Tomato 2,195.3,128.09,128.88,1.5248
Tomato,Tomato 2,161.69,85.3,86.63,1.8956
Tomato,Tomato 2,163.53,93.12,95.11,1.7561
Tomato,Tomato 2,205.88,145.7,145.24,1.413
Tomato,Tomato 2,205.56,146.0,145.36,1.408
Tomato,Tomato 2,156.79,83.44,84.54,1.8791
Tomato,Tomato 2,202.93,137.95,137.6,1.4711
Tomato,Tomato 2,210.97,153.24,152.95,1.3768
Tomato,Tomato 2,209.4,159.69,159.47,1.3112
Tomato,Tomato 2,204.32,136.29,135.58,1.4992
Tomato,Tomato 2,181.9,132.75,132.55,1.3702
Tomato,Tomato 2,171.17,85.33,87.05,2.006
Tomato,Tomato 2,176.3,124.63,124.51,1.4146
Tomato,Tomato 2,212.42,156.85,156.43,1.3543
Tomato,Tomato 2,190.74,136.06,135.37,1.4019
Tomato,Tomato 2,207.22,152.24,152.1,1.3612
Tomato,Tomato 2,208.63,144.53,143.91,1.4436
Tomato,Tomato 2,189.84,115.33,115.59,1.6461
Tomato,Tomato 2,207.81,143.25,143.26,1.4507
Tomato,Tomato 2,210.84,155.8,155.37,1.3533
Tomato,Tomato 2,186.83,105.74,104.44,1.7668
Tomato,Tomato 2,210.54,158.15,157.88,1.3312
Tomato,Tomato 2,202.55,141.62,141.02,1.4303
Tomato,Tomato 2,197.48,145.99,145.88,1.3527
Tomato,Tomato 2,204.53,145.24,144.68,1.4082
Tomato,Tomato 2,177.68,104.19,103.54,1.7053
Tomato,Tomato 2,199.29,143.41,143.64,1.3897
Tomato,Tomato 2,210.69,153.73,153.31,1.3705
Tomato,Tomato 2,200.2,143.28,143.56,1.3973
Tomato,Tomato 2,205.27,138.76,138.71,1.4793
Tomato,Tomato 2,209.47,159.34,158.97,1.3147
Tomato,Tomato 2,204.97,144.42,144.19,1.4193
Tomato,Tomato 2,171.56,115.99,116.06,1.4791
Tomato,Tomato 2,193.47,122.67,123.39,1.5772
Tomato,Tomato 2,204.92,145.41,145.09,1.4093
Tomato,Tomato 2,202.82,146.45,147.48,1.3849
Tomato,Tomato 2,165.04,102.77,102.81,1.606
Tomato,Tomato 2,173.35,105.33,107.7,1.6457
Tomato,Tomato 2,171.39,86.93,88.83,1.9716
Tomato,Tomato 2,204.93,139.55,139.25,1.4685
Tomato,Tomato 2,170.07,90.25,91.79,1.8844
Tomato,Tomato 2,208.24,143.23,142.68,1.4539
Tomato,Tomato 2,204.28,144.79,144.34,1.4108
Tomato,Tomato 2,180.19,110.84,110.68,1.6257
Tomato,Tomato 2,166.95,107.23,108.64,1.557
Tomato,Tomato 2,158.92,91.73,93.23,1.7324
Tomato,Tomato 2,210.21,150.81,150.6,1.3939
Tomato,Tomato 2,169.48,91.12,92.66,1.8599
Tomato,Tomato 2,201.28,139.12,138.87,1.4467
Tomato,Tomato 2,206.63,145.92,145.44,1.4161
Tomato,Tomato 2,208.11,159.48,159.18,1.305
Tomato,Tomato 2,205.07,138.24,137.96,1.4834
Tomato,Tomato 2,200.18,141.21,142.04,1.4176
Tomato,Tomato 2,171.04,87.58,89.08,1.953
Tomato,Tomato 2,186.18,108.25,108.8,1.72
Tomato,Tomato 2,177.69,129.95,130.09,1.3673
Tomato,Tomato 2,191.11,117.07,117.43,1.6324
Tomato,Tomato 2,186.46,108.4,108.93,1.7201
Tomato,Tomato 2,208.9,159.35,159.01,1.3109
Tomato,Tomato 2,208.53,144.01,143.49,1.448
Tomato,Tomato 2,206.3,146.21,145.66,1.411
Tomato,Tomato 2,178.68,105.37,104.93,1.6957
Tomato,Tomato 2,193.37,141.01,140.97,1.3714
Tomato,Tomato 2,194.22,141.99,142.18,1.3679
Tomato,Tomato 2,182.28,105.59,106.87,1.7264
Tomato,Tomato 2,211.84,157.14,156.62,1.3481
Tomato,Tomato 2,185.21,121.31,120.93,1.5267
Tomato,Tomato 2,171.15,103.55,105.93,1.6528
Tomato,Tomato 2,195.3,142.43,142.38,1.3712
Tomato,Tomato 2,170.54,84.93,84.32,2.008
Tomato,Tomato 2,208.34,143.38,142.83,1.4531
Tomato,Tomato 2,202.65,144.05,143.53,1.4067
Tomato,Tomato 2,205.65,139.06,138.79,1.4789
Tomato,Tomato 2,205.42,147.37,147.01,1.3938
Tomato,Tomato 2,194.64,144.84,144.23,1.3438
Tomato,Tomato 2,203.01,139.25,138.89,1.4578
Tomato,Tomato 2,202.05,153.54,153.12,1.3159
Tomato,Tomato 2,204.84,144.22,144.02,1.4203
Tomato,Tomato 2,182.41,104.31,105.31,1.7487
Tomato,Tomato 2,185.66,121.82,121.39,1.5241
Tomato,Tomato 2,166.24,108.41,109.68,1.5334
Tomato,Tomato 2,184.0,118.05,117.46,1.5587
Tomato,Tomato 2,171.52,88.36,90.16,1.9412
Tomato,Tomato 2,211.08,154.13,153.87,1.3695
Tomato,Tomato 2,173.48,92.52,92.32,1.875
Tomato,Tomato 2,204.16,137.07,136.78,1.4894
Tomato,Tomato 2,198.84,144.58,145.05,1.3752
Tomato,Tomato 2,197.45,143.21,143.53,1.3788
Tomato,Tomato 2,188.02,130.2,129.92,1.4441
Tomato,Tomato 2,183.41,115.86,115.56,1.5831
Tomato,Tomato 2,206.42,147.53,146.95,1.3992
Tomato,Tomato 2,209.46,158.17,157.77,1.3243
Tomato,Tomato 2,196.44,143.61,143.36,1.3679
Tomato,Tomato 2,205.12,144.2,143.88,1.4225
Tomato,Tomato 2,212.51,157.24,157.11,1.3515
Tomato,Tomato 2,210.93,154.59,154.19,1.3644
Tomato,Tomato 2,213.04,158.32,158.1,1.3456
Tomato,Tomato 2,196.05,148.02,147.47,1.3245
Tomato,Tomato 2,163.68,99.04,99.01,1.6527
Tomato,Tomato 2,153.66,78.03,79.49,1.9693
Tomato,Tomato 2,206.74,142.68,142.14,1.449
Tomato,Tomato 2,194.12,124.97,125.87,1.5534
Tomato,Tomato 2,212.32,158.88,159.31,1.3363
Tomato,Tomato 2,172.72,120.02,120.89,1.439
Tomato,Tomato 2,188.18,127.24,127.0,1.4789
Tomato,Tomato 2,205.27,144.73,144.52,1.4183
Tomato,Tomato 2,202.85,141.96,141.26,1.4289
Tomato,Tomato 2,184.55,106.02,106.51,1.7408
Tomato,Tomato 2,208.58,145.83,145.69,1.4303
Tomato,Tomato 2,186.56,107.2,106.06,1.7403
Tomato,Tomato 2,205.83,157.51,157.23,1.3068
Tomato,Tomato 2,161.78,90.42,91.99,1.7892
Tomato,Tomato 2,207.46,144.48,144.4,1.4359
Tomato,Tomato 2,192.95,117.32,116.16,1.6446
Tomato,Tomato 2,161.04,93.43,93.53,1.7236
Tomato,Tomato 2,200.62,133.07,132.87,1.5076
Tomato,Tomato 2,169.12,101.03,103.36,1.674
Tomato,Tomato 2,166.99,107.87,109.26,1.548
Tomato,Tomato 2,209.62,146.3,145.88,1.4328
Tomato,Tomato 2,204.85,146.01,145.55,1.403
Tomato,Tomato 2,204.89,139.87,139.47,1.4649
Tomato,Tomato 2,211.46,153.4,153.19,1.3785
Tomato,Tomato 2,180.21,96.33,95.22,1.8708
Tomato,Tomato 2,211.2,154.71,154.44,1.3652
Tomato,Tomato 2,189.36,132.57,132.17,1.4283
Tomato,Tomato 2,181.18,102.85,103.4,1.7616
Tomato,Tomato 2,173.87,90.66,92.27,1.9179
Tomato,Tomato 2,205.21,146.62,146.44,1.3996
Tomato,Tomato 2,178.57,99.11,100.78,1.8017
Tomato,Tomato 2,209.88,159.13,158.7,1.3189
Tomato,Tomato 2,194.0,139.02,138.88,1.3955
Tomato,Tomato 2,176.05,124.43,124.43,1.4148
Tomato,Tomato 2,175.05,91.78,91.41,1.9073
Tomato,Tomato 2,213.59,157.95,157.9,1.3523
Tomato,Tomato 2,201.99,141.61,141.23,1.4264
Tomato,Tomato 2,206.03,145.76,145.35,1.4135
Tomato,Tomato 2,171.3,117.59,118.34,1.4567
Tomato,Tomato 2,158.9,86.33,87.69,1.8407
Tomato,Tomato 2,202.36,141.57,141.12,1.4294
Tomato,Tomato 2,206.95,141.7,141.66,1.4605
Tomato,Tomato 2,214.01,164.73,164.46,1.2992
Tomato,Tomato 2,206.6,148.62,148.65,1.3902
Tomato,Tomato 2,198.79,145.34,145.95,1.3677
Tomato,Tomato 2,192.45,118.27,118.52,1.6272
Tomato,Tomato 2,201.86,134.99,134.67,1.4954
Tomato,Tomato 2,207.95,144.87,144.82,1.4355
Tomato,Tomato 2,207.15,151.29,151.2,1.3693
Tomato,Tomato 2,204.2,146.46,146.07,1.3942
Tomato,Tomato 2,171.45,89.24,90.8,1.9213
Tomato,Tomato 2,206.1,139.93,139.68,1.4729
Tomato,Tomato 2,204.31,138.46,138.16,1.4756
Tomato,Tomato 2,205.14,139.59,139.48,1.4696
Tomato,Tomato 2,173.16,88.93,88.43,1.947
Tomato,Tomato 2,187.08,107.15,105.84,1.7459
Tomato,Tomato 2,176.38,124.81,124.79,1.4132
Tomato,Tomato 2,169.12,110.7,110.77,1.5277
Tomato,Tomato 2,189.04,113.23,113.87,1.6695
Tomato,Tomato 2,198.0,134.46,134.61,1.4726
Tomato,Tomato 2,178.97,107.08,107.33,1.6713
Tomato,Tomato 2,213.92,158.86,158.6,1.3467
Tomato,Tomato 2,188.37,112.57,112.78,1.6733
Tomato,Tomato 2,156.88,79.95,81.43,1.9622
Tomato,Tomato 2,207.15,141.31,140.71,1.466
Tomato,Tomato 2,156.05,83.96,85.37,1.8587
Tomato,Tomato 2,211.77,157.02,156.62,1.3487
Tomato,Tomato 2,193.05,140.9,140.05,1.3701
Tomato,Tomato 2,162.52,96.32,96.53,1.6872
Tomato,Tomato 2,201.19,141.34,142.92,1.4235
Tomato,Tomato 2,207.81,158.21,157.81,1.3135
Tomato,Tomato 2,172.88,118.43,118.25,1.4598
Tomato,Tomato 2,210.21,149.87,149.47,1.4026
Tomato,Tomato 2,208.99,150.14,149.72,1.392
Tomato,Tomato 2,188.44,130.12,129.9,1.4482
Tomato,Tomato 2,191.98,118.61,119.11,1.6187
Tomato,Tomato 2,213.56,162.91,162.72,1.3109
Tomato,Tomato 2,198.21,135.09,135.32,1.4672
Tomato,Tomato 2,201.75,141.37,140.96,1.4271
Tomato,Tomato 2,207.33,151.95,151.9,1.3645
Tomato,Tomato 2,182.18,112.89,112.52,1.6137
Tomato,Tomato 2,207.39,152.67,152.49,1.3584
Tomato,Tomato 2,210.28,152.55,152.3,1.3784
Tomato,Tomato 2,205.55,147.82,147.33,1.3906
Tomato,Tomato 2,211.65,155.61,155.37,1.3601
Tomato,Tomato 2,176.4,100.02,99.63,1.7637
Tomato,Tomato 2,209.76,148.16,147.84,1.4158
Tomato,Tomato 2,212.0,158.07,158.15,1.3412
Tomato,Tomato 2,194.79,145.54,144.83,1.3384
Tomato,Tomato 2,208.22,143.03,142.28,1.4558
Tomato,Tomato 2,207.43,151.04,151.06,1.3733
Tomato,Tomato 2,175.86,91.73,90.58,1.9171
Tomato,Tomato 2,168.6,110.32,110.12,1.5283
Tomato,Tomato 2,167.39,108.7,108.73,1.54
Tomato,Tomato 2,210.6,152.6,152.11,1.3801
Tomato,Tomato 2,181.11,103.04,103.97,1.7578
Tomato,Tomato 2,195.57,147.08,146.71,1.3297
Tomato,Tomato 2,200.68,142.22,143.13,1.4111
Tomato,Tomato 2,189.37,115.17,115.58,1.6443
Tomato,Tomato 2,172.2,89.41,88.78,1.926
Tomato,Tomato 2,195.68,128.05,129.08,1.5282
Apple,Apple Red 1,177.9,128.71,111.31,1.3822
Apple,Apple Red 1,165.35,108.21,97.07,1.5281
Apple,Apple Red 1,180.48,135.15,120.88,1.3354
Apple,Apple Red 1,174.18,126.6,117.86,1.3758
Apple,Apple Red 1,180.0,136.4,120.02,1.3197
Apple,Apple Red 1,180.18,133.58,118.84,1.3489
Apple,Apple Red 1,167.91,115.66,106.02,1.4517
Apple,Apple Red 1,165.22,118.78,114.56,1.391
Apple,Apple Red 1,166.87,110.39,98.37,1.5116
Apple,Apple Red 1,170.58,114.6,103.92,1.4884
Apple,Apple Red 1,171.7,121.44,110.54,1.4139
Apple,Apple Red 1,176.68,135.3,118.92,1.3058
Apple,Apple Red 1,168.18,112.79,101.31,1.4911
Apple,Apple Red 1,160.17,109.03,99.01,1.469
Apple,Apple Red 1,171.89,117.81,104.3,1.4591
Apple,Apple Red 1,166.35,114.3,104.96,1.4554
Apple,Apple Red 1,163.33,111.05,103.91,1.4708
Apple,Apple Red 1,180.47,137.74,121.79,1.3102
Apple,Apple Red 1,168.07,116.13,106.27,1.4473
Apple,Apple Red 1,174.78,128.43,120.4,1.3609
Apple,Apple Red 1,163.85,118.08,105.87,1.3877
Apple,Apple Red 1,172.9,119.26,105.01,1.4497
Apple,Apple Red 1,176.3,124.21,108.58,1.4194
Apple,Apple Red 1,180.65,137.71,123.92,1.3118
Apple,Apple Red 1,174.75,118.97,109.66,1.4689
Apple,Apple Red 1,174.51,132.62,115.52,1.3159
Apple,Apple Red 1,172.91,117.17,107.9,1.4757
Apple,Apple Red 1,156.15,102.76,96.83,1.5195
Apple,Apple Red 1,163.05,108.18,100.79,1.5072
Apple,Apple Red 1,163.14,108.64,101.35,1.5016
Apple,Apple Red 1,163.44,107.38,99.39,1.5221
Apple,Apple Red 1,179.76,135.79,119.1,1.3239
Apple,Apple Red 1,180.1,137.99,123.4,1.3051
